idx,sub_1_smiles,sub_2_smiles,product_smiles
105,NCc1cccc2ccccc12,Cc1cc(C(=O)O)cc(Cl)n1,Cc1cc(C(=O)NCc2cccc3ccccc23)cc(Cl)n1
106,COc1ccc(N)cc1,O=C(O)c1ccc(C(F)(F)F)cn1,COc1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1
107,NCc1ccc(F)cc1,Cc1cc(C)c(C(=O)O)c(C)c1,Cc1cc(C)c(C(=O)NCc2ccc(F)cc2)c(C)c1
108,COC(=O)c1ccc(N)cc1OC,O=C(O)Cc1ccc2c(c1)OCO2,COC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)OCO3)cc1OC
109,NCc1ccc2c(c1)OCO2,O=C(O)Cc1cc(F)cc(F)c1,O=C(Cc1cc(F)cc(F)c1)NCc1ccc2c(c1)OCO2
110,Cn1c(N)nc2ccccc21,O=C(O)c1ccc(F)cn1,Cn1c(NC(=O)c2ccc(F)cn2)nc2ccccc21
111,CNOC,O=C(O)c1ccc([N+](=O)[O-])s1,CON(C)C(=O)c1ccc([N+](=O)[O-])s1
112,COC(=O)c1ccc(N)cc1OC,Cc1c(C(=O)O)oc2ccccc12,COC(=O)c1ccc(NC(=O)c2oc3ccccc3c2C)cc1OC
113,Cc1ccc([N+](=O)[O-])cc1N,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,Cc1ccc([N+](=O)[O-])cc1NC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2
114,CC(=O)c1ccc(N)cc1,O=C(O)c1c[nH]c2ncccc12,CC(=O)c1ccc(NC(=O)c2c[nH]c3ncccc23)cc1
115,NCc1ccccc1C(F)(F)F,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)NCc2ccccc2C(F)(F)F)cc1
116,NCc1ccc(F)cc1F,O=C(O)C(c1ccccc1)c1ccccc1,O=C(NCc1ccc(F)cc1F)C(c1ccccc1)c1ccccc1
117,COc1ccc(N)cn1,O=C(O)Cc1cc(F)cc(F)c1,COc1ccc(NC(=O)Cc2cc(F)cc(F)c2)cn1
118,NCc1cccc2ccccc12,O=C(O)c1cc2ccccc2s1,O=C(NCc1cccc2ccccc12)c1cc2ccccc2s1
119,CNOC,O=C(O)c1c[nH]c2ncccc12,CON(C)C(=O)c1c[nH]c2ncccc12
120,NCc1ccc2c(c1)OCO2,CC(C)(C(=O)O)c1ccccc1,CC(C)(C(=O)NCc1ccc2c(c1)OCO2)c1ccccc1
121,CCNC(C)C,O=C(O)Cc1ccc2c(c1)OCO2,CCN(C(=O)Cc1ccc2c(c1)OCO2)C(C)C
122,C[C@@H](N)c1ccccc1,O=C(O)c1ccco1,C[C@@H](NC(=O)c1ccco1)c1ccccc1
123,CC(=O)c1ccc(N)cc1,O=C(O)Cc1cc(F)cc(F)c1,CC(=O)c1ccc(NC(=O)Cc2cc(F)cc(F)c2)cc1
124,CCNc1ccccc1,Cc1c(C(=O)O)oc2ccccc12,CCN(C(=O)c1oc2ccccc2c1C)c1ccccc1
125,CCNc1ccccc1,Cc1ccc(CC(=O)O)cc1,CCN(C(=O)Cc1ccc(C)cc1)c1ccccc1
126,Cc1cccc(N)c1C,O=C(O)c1ccc2c(c1)OC(F)(F)O2,Cc1cccc(NC(=O)c2ccc3c(c2)OC(F)(F)O3)c1C
127,Cc1ccc2cccc(N)c2n1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,Cc1ccc2cccc(NC(=O)C(C)c3ccc(-c4ccccc4)c(F)c3)c2n1
